,id,week,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text,home_team,away_team,neutral_site,conference_game,home_score,away_score
18405,401012727,2,Michigan State,Big Ten,Arizona State,Pac-12,13,13,40101272721,4,6,30,47,2,15,-19,Fumble Recovery (Own),"Brian Lewerke sacked by Merlin Robertson for a loss of 19 yards to the MchSt 34 Brian Lewerke fumbled, forced by Merlin Robertson, recovered by MchSt Jordan Reid , return for 0 yards",Arizona State,Michigan State,False,False,13,13
22095,401013100,2,Georgia Tech,ACC,South Florida,American Athletic,0,0,4010131002,1,13,35,49,2,9,-17,Penalty,"GEORGIA TECH Penalty, Illegal Block (-17 Yards) to the GTech 34",South Florida,Georgia Tech,False,False,0,0
23308,401013107,2,Virginia Tech,ACC,William & Mary,,45,14,40101310718,3,7,10,92,1,8,-17,Rush,TEAM run for a loss of 17 yards to the WmMry 25,Virginia Tech,William & Mary,False,False,45,14
24336,401013352,2,Eastern Michigan,Mid-American,Purdue,Big Ten,7,6,4010133527,2,15,0,58,3,5,-16,Penalty,"EASTRN MICHIGAN Penalty, personal foul (-16 Yards) to the EMich 26",Purdue,Eastern Michigan,False,False,6,7
28941,401020677,2,Howard,,Kent State,Mid-American,0,19,40102067715,2,8,42,77,4,10,-21,Fumble Recovery (Own),"Isaiah Moore run for a loss of 21 yards to the Howrd 2 Isaiah Moore fumbled, recovered by Howrd Isaiah Moore",Kent State,Howard,False,False,19,0
29189,401020678,2,Akron,Mid-American,Morgan State,,41,0,40102067820,3,5,35,36,2,8,-38,Pass Interception Return,Kato Nelson pass intercepted Darius Johnson return for a loss of 38 yards to the MorgS 31,Akron,Morgan State,False,False,41,0
34510,401012864,3,Northern Iowa,,Iowa,Big Ten,0,14,4010128646,2,14,0,45,1,10,-19,Fumble Recovery (Own),"TEAM run for a loss of 19 yards to the NIowa 26 TEAM fumbled, recovered by NIowa Colton Howell",Iowa,Northern Iowa,False,False,14,0
41600,401022519,3,Tennessee Tech,,Utah State,Mountain West,9,52,40102251925,4,15,0,66,4,8,-27,Punt,"Luke Maynard punt for a loss of 6 yards , Deven Thompkins returns for a loss of 27 yards to the UthSt 45",Utah State,Tennessee Tech,False,False,52,9
42805,401012288,4,Kent State,Mid-American,Ole Miss,SEC,7,7,40101228811,2,9,19,13,2,13,-16,Pass Reception,"Woody Barrett pass complete to Woody Barrett for a loss of 11 yards to the Miss 24 KENT ST Penalty, illegal forward pass (Woody Barrett) to the Miss 29",Ole Miss,Kent State,False,False,7,7
43532,401012748,4,USC,Pac-12,Washington State,Pac-12,14,17,4010127489,2,7,36,63,1,10,-17,Fumble Recovery (Own),"TEAM run for a loss of 17 yards to the USC 46 TEAM fumbled, recovered by USC Stephen Carr",USC,Washington State,False,True,14,17
43734,401012749,4,Stanford,Pac-12,Oregon,Pac-12,7,24,4010127499,2,0,5,37,1,10,-18,Fumble Recovery (Own),"K.J. Costello sacked by Justin Hollins for a loss of 18 yards to the Stanf 45 K.J. Costello fumbled, forced by Justin Hollins, recovered by Stanf Jesse Burkett , return for 0 yards",Oregon,Stanford,False,True,24,7
46694,401013122,4,Florida State,ACC,Northern Illinois,Mid-American,17,7,40101312213,2,0,14,87,2,10,-20,Fumble Recovery (Own),"TEAM run for a loss of 20 yards to the NoIll 33 TEAM fumbled,",Florida State,Northern Illinois,False,False,17,7
58010,401013134,5,Bowling Green,Mid-American,Georgia Tech,ACC,10,21,4010131347,2,7,50,41,2,1,-17,Fumble Recovery (Own),"Jarret Doege run for a loss of 17 yards to the BwGrn 42 Jarret Doege fumbled, recovered by BwGrn Jarret Doege",Georgia Tech,Bowling Green,False,False,21,10
60171,401015002,5,Arkansas-Pine Bluff,,Florida International,Conference USA,3,10,4010150027,1,4,29,77,4,12,-16,Punt,"Jamie Gillan punt for 13 yds, punt out-of-bounds at the FlaIn 48 , Maurice Alexander returns for a loss of 16 yards to the FlaIn 48",Florida International,Arkansas-Pine Bluff,False,False,10,3
60208,401015002,5,Arkansas-Pine Bluff,,Florida International,Conference USA,3,38,40101500215,2,7,42,56,2,9,-20,Rush,TEAM run for a loss of 20 yards to the ArkPB 24,Florida International,Arkansas-Pine Bluff,False,False,38,3
67350,401013051,6,Kansas,Big 12,West Virginia,Big 12,14,31,40101305122,4,3,0,55,3,3,-16,Pass Reception,"Carter Stanley pass complete to Stephon Robinson for a loss of 1 yard to the Kans 45 KANSAS Penalty, Unnecessary Roughness (-15 Yards) to the Kans 30",West Virginia,Kansas,False,True,31,14
68516,401013143,6,Notre Dame,FBS Independents,Virginia Tech,ACC,10,3,4010131435,2,13,0,41,4,6,-16,Rush,TEAM run for a loss of 16 yards to the NDame 43,Virginia Tech,Notre Dame,False,False,3,10
68860,401013362,6,South Florida,American Athletic,UMass,FBS Independents,7,7,4010133625,1,10,0,12,1,10,-17,Fumble Recovery (Own),"TEAM run for a loss of 17 yards to the UMass 29 TEAM fumbled, recovered by SFla Blake Barnett",UMass,South Florida,False,False,7,7
72361,401020755,6,Kent State,Mid-American,Ohio,Mid-American,20,14,40102075517,3,6,0,66,1,10,-27,Pass Reception,Woody Barrett pass complete to Antwan Dixon for a loss of 27 yards to the KntSt 39,Kent State,Ohio,False,True,20,14
73542,401022531,6,Wyoming,Mountain West,Hawai'i,Mountain West,3,3,4010225318,2,8,0,68,3,3,-23,Fumble Recovery (Own),"Tyler Vander Waal sacked by KK Padello for a loss of 23 yards to the Wyom 9 Tyler Vander Waal fumbled, recovered by Wyom Nico Evans , return for 0 yards",Hawai'i,Wyoming,False,True,3,3
