,id,week,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text,home_team,away_team,neutral_site,conference_game,home_score,away_score
128872,401012878,12,Maryland,Big Ten,Ohio State,Big Ten,45,38,40101287825,4,1,0,99,3,1,0,Fumble Recovery Touchdown (Own),"Anthony McFarland run for no gain Anthony McFarland fumbled, recovered by Mary Chigoziem Okonkwo for a TD (Joseph Petrino KICK)",Maryland,Ohio State,FALSE,TRUE,45,38
129566,401013055,12,Kansas,Big 12,Oklahoma,Big 12,24,48,40101305518,4,12,0,70,4,10,9,Blocked Punt Touchdown,Kyle Thompson punt blocked by Brayden Willis blocked by Brayden Willis  Curtis Bolton return for 9 yds for a TD (Austin Seibert KICK),Oklahoma,Kansas,FALSE,TRUE,48,24
130204,401013177,12,Virginia,ACC,Georgia Tech,ACC,7,13,4010131775,1,3,0,80,1,0,77,Kickoff Return Touchdown,"Lester Coleman kickoff for 57 yds , Juanyeh Thomas return for 77 yds for a TD Timeout GEORGIA TECH, clock 03:13 (T. Marshall Run For Two-point Conversion)",Georgia Tech,Virginia,FALSE,TRUE,13,7
130642,401013179,12,Virginia Tech,ACC,Miami,ACC,14,31,40101317921,3,5,0,9,4,15,51,Punt Return Touchdown,"Oscar Bradburn punt for 42 yds , Jeff Thomas returns for 51 yds for a TD (Bubba Baxa KICK)",Virginia Tech,Miami,FALSE,TRUE,14,31
131843,401013353,12,Wisconsin,Big Ten,Purdue,Big Ten,41,34,40101335331,5,0,0,4,1,4,4,Rushing Touchdown,Garrett Groshek run for 4 yds for a TD Garrett Groshek run for 4 yds for a TD (R Gaglianone KICK),Purdue,Wisconsin,FALSE,TRUE,34,41
131844,401013353,12,Purdue,Big Ten,Wisconsin,Big Ten,41,41,40101335332,5,0,0,75,1,10,25,Passing Touchdown,"David Blough pass complete to Isaac Zico for 25 yds for a TD David Blough pass complete to Isaac Zico for 25 yds for a TD David Blough pass complete to Isaac Zico for 25 yds for a TD Timeout WISCONSIN, clock 00:00 (Spencer Evans KICK)",Purdue,Wisconsin,FALSE,TRUE,41,41
133083,401015048,12,VMI,,Old Dominion,Conference USA,14,77,40101504826,4,10,0,61,4,7,74,Punt Return Touchdown,"Reed King punt for 35 yds , Isaiah Harper returns for 74 yds for a TD (Nick Rice KICK)",Old Dominion,VMI,FALSE,FALSE,77,14
133677,401019531,12,UCF,American Athletic,Cincinnati,American Athletic,0,6,4010195312,1,10,0,7,1,10,0,Fumble Recovery Touchdown (Opponent),"McKenzie Milton sacked by Malik Clements for a loss of 7 yards McKenzie Milton fumbled, forced by Malik Clements, recovered by Cincy Kimoni Fitz , return for 0 yards for a TD, (Cole Smith PAT MISSED)",UCF,Cincinnati,FALSE,TRUE,0,6
134187,401019533,12,South Florida,American Athletic,Temple,American Athletic,17,20,40101953325,4,10,0,70,4,5,73,Punt Return Touchdown,"Trent Schneider punt for 43 yds , Isaiah Wright returns for 73 yds for a TD (Will Mobley KICK)",Temple,South Florida,FALSE,TRUE,20,17
134214,401019533,12,South Florida,American Athletic,Temple,American Athletic,17,27,40101953331,4,1,0,90,1,10,0,Fumble Recovery Touchdown (Opponent),"Blake Barnett sacked by Dana Levine for a loss of 7 yards Blake Barnett fumbled, recovered by Temp Chapelle Russell , return for 0 yards for a TD (Will Mobley KICK)",Temple,South Florida,FALSE,TRUE,27,17
135004,401020783,12,Kent State,Mid-American,Toledo,Mid-American,17,28,40102078311,2,3,0,30,4,4,83,Punt Return Touchdown,"Derek Adams punt for 53 yds , Diontae Johnson returns for 83 yds for a TD (Jameson Vest KICK)",Kent State,Toledo,FALSE,TRUE,17,28
136410,401022560,12,Boise State,Mountain West,New Mexico,Mountain West,31,14,40102256015,4,10,0,58,4,7,86,Punt Return Touchdown,"Quinn Skillin punt for 44 yds , Marcus Hayes returns for 86 yds for a TD (Andrew Shelley KICK)",New Mexico,Boise State,FALSE,TRUE,14,31
137672,401012352,13,Georgia,SEC,Georgia Tech,ACC,14,7,4010123524,1,0,32,35,2,2,100,Kickoff Return Touchdown,"Rodrigo Blankenship kickoff for 65 yds , Juanyeh Thomas return for 100 yds for a TD (Wesley Wells KICK)",Georgia,Georgia Tech,FALSE,FALSE,14,7
137995,401012354,13,Arkansas,SEC,Missouri,SEC,0,21,4010123548,2,12,33,76,2,11,0,Fumble Recovery Touchdown (Opponent),"Ty Storey sacked by Jordan Elliott for a loss of 10 yards Ty Storey fumbled, recovered by Misso Akial Byers , return for 0 yards for a TD (Tucker McCann KICK)",Missouri,Arkansas,FALSE,TRUE,21,0
138474,401012356,13,Texas A&M,SEC,LSU,SEC,24,24,40101235617,4,10,12,60,1,10,58,Fumble Recovery Touchdown (Opponent),"Kellen Mond pass complete to Trayveon Williams for a loss of 2 yards, Trayveon Williams fumbled, recovered by LSU Michael Divinity Jr. , returned for 58 yds for a TD (Cole Tracy KICK)",Texas A&M,LSU,FALSE,TRUE,24,24
138540,401012356,13,LSU,SEC,Texas A&M,SEC,41,41,40101235626,6,0,0,3,4,2,3,Rushing Touchdown,Nick Brossette run for 3 yds for a TD Nick Brossette run for 3 yds for a TD (Cole Tracy KICK),Texas A&M,LSU,FALSE,TRUE,41,41
138544,401012356,13,Texas A&M,SEC,LSU,SEC,49,49,40101235628,7,0,0,75,2,10,25,Passing Touchdown,Kellen Mond pass complete to Kendrick Rogers for 25 yds for a TD (Kellen Mond pass  to Kendrick Rogers for Two-Point Conversion),Texas A&M,LSU,FALSE,TRUE,49,49
139602,401012801,13,Stanford,Pac-12,UCLA,Pac-12,41,36,40101280123,3,2,9,80,1,0,93,Kickoff Return Touchdown,"Jake Bailey kickoff for 73 yds , Darnay Holmes return for 93 yds for a TD (JJ Molson KICK)",UCLA,Stanford,FALSE,TRUE,36,41
142130,401013183,13,Virginia,ACC,Virginia Tech,ACC,0,14,40101318310,2,1,40,77,4,12,0,Blocked Punt Touchdown,"TEAM punt blocked by Tre Turner, recovered by Jovonn Quillen for a TD, (Brian Johnson KICK)",Virginia Tech,Virginia,FALSE,TRUE,14,0
