,id,week,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text,home_team,away_team,neutral_site,conference_game,home_score,away_score
939,401012251,1,Kentucky,SEC,Central Michigan,Mid-American,7,16,40101225111,2,5,33,26,1,10,20,Fumble Recovery (Opponent),"Terry Wilson pass complete to Lynn Bowden Jr. for a loss of 4 yards for a TD Lynn Bowden Jr. fumbled, forced by Nate Brisson-Fast, recovered by CMich Devonni Reed  , return for 20 yds",Kentucky,Central Michigan,False,False,7,16
4573,401012820,1,Texas State,Sun Belt,Rutgers,Big Ten,7,35,40101282023,4,9,17,93,1,6,0,Fumble Recovery (Opponent),"TEAM run for a loss of 7 yards TEAM fumbled, recovered by Rutgr Olakunle Fatukasi for a TD (Justin Davidovicz KICK)",Rutgers,Texas State,False,False,35,7
6076,401013057,1,South Dakota,,Kansas State,Big 12,24,19,40101305727,4,12,12,53,4,4,85,Punt,"Brady Schutt punt for 38 yds , Isaiah Zuber returns for 85 yds for a TD (Blake Lynch KICK)",Kansas State,South Dakota,False,False,19,24
6148,401013065,1,Florida Atlantic,Conference USA,Oklahoma,Big 12,0,14,4010130653,1,6,34,72,4,7,0,Blocked Punt,Sebastian Riella punt blocked by Lee Morris blocked by Lee Morris  Curtis Bolton return for no gain for a TD (Austin Seibert KICK),Oklahoma,Florida Atlantic,False,False,14,0
6415,401013072,1,Southern,,TCU,Big 12,7,55,40101307218,3,7,31,69,4,4,73,Punt,"Cesar Barajas punt for 42 yds , Derius Davis returns for 73 yds for a TD (Jonathan Song KICK)",TCU,Southern,False,False,55,7
7355,401013092,1,Albany,,Pittsburgh,ACC,0,7,4010130921,1,14,48,65,1,10,91,Kickoff,"Ethan Stark kickoff for 56 yds , Maurice Ffrench return for 91 yds for a TD (Alex Kessman KICK)",Pittsburgh,Albany,False,False,7,0
8119,401013328,1,New Mexico State,,Minnesota,Big Ten,10,28,40101332815,2,2,45,75,4,10,76,Punt,"Payton Theisler punt for 51 yds , Antoine Winfield Jr. returns for 76 yds for a TD (Emmit Carpenter KICK)",Minnesota,New Mexico State,False,False,28,10
10469,401014976,1,SMU,American Athletic,North Texas,Conference USA,15,46,40101497623,4,1,28,65,1,0,96,Kickoff,"Kevin Robledo kickoff for 61 yds , DeAndre Torrey return for 96 yds for a TD (Cole Hedlund KICK)",North Texas,SMU,False,False,46,15
10733,401014978,1,Jackson State,,Southern Mississippi,Conference USA,0,24,4010149788,2,7,4,60,4,9,81,Punt,"Christian Jacquemin punt for 41 yds , Quez Watkins returns for 81 yds for a TD (Parker Shaunfield KICK)",Southern Mississippi,Jackson State,False,False,24,0
11635,401019473,1,Villanova,,Temple,American Athletic,13,10,4010194735,2,7,47,15,4,14,74,Blocked Field Goal,Drew Kresge 31 yd FG BLOCKED blocked by Quincy Roche  Kimere Brown return for 74 yds for a TD (Aaron Boumerhi KICK),Temple,Villanova,False,False,10,13
11965,401019475,1,Navy,American Athletic,Hawai'i,Mountain West,0,28,4010194756,2,11,8,70,4,5,19,Blocked Punt,"TEAM punt blocked by Jeffery Keene blocked by Jeffery Keene  Maxwell Hendrie return for 19 yds for a TD, (Ryan Meskell KICK)",Hawai'i,Navy,False,False,28,0
12243,401019476,1,Tulsa,American Athletic,Central Arkansas,,24,27,40101947623,4,11,8,41,1,10,0,Sack,"Luke Skipper sacked by Raphael Garner for a loss of 16 yards Luke Skipper fumbled, recovered by CArk Cardell Best , return for 0 yards , return for 20 yds Cardell Best fumbled, recovered by CArk Justin Morris , return for 0 yards for a TD",Tulsa,Central Arkansas,False,False,24,27
13138,401020675,1,Howard,,Ohio,Mid-American,22,24,40102067518,3,14,44,65,1,10,99,Kickoff,"Dakota Lebofsky kickoff for 64 yds , DL Knock return for 99 yds for a TD (Louie Zervos KICK)",Ohio,Howard,False,False,24,22
13255,401020676,1,VMI,,Toledo,Mid-American,0,7,4010206763,1,10,38,89,4,12,3,Blocked Punt,"TEAM punt blocked by Cody Thompson blocked by Cody Thompson  Cody Thompson return for 3 yds for a TD, (Jameson Vest KICK)",Toledo,VMI,False,False,7,0
15330,401022516,1,Idaho,,Fresno State,Mountain West,6,30,4010225169,2,9,20,19,4,6,74,Blocked Field Goal,"Cade Coffey 36 yd FG BLOCKED blocked by Anthoula Kelly  Jaron Bryant return for 74 yds for a TD Asa Fuller kickoff , Denzal Brantley return for 18 yds to the Idaho 23 (Asa Fuller KICK)",Fresno State,Idaho,False,False,30,6
15363,401022516,1,Idaho,,Fresno State,Mountain West,6,44,40102251617,2,0,0,22,4,5,71,Blocked Field Goal,Cade Coffey 39 yd FG BLOCKED blocked by Mykal Walker  Jaron Bryant return for 71 yds for a TD (Asa Fuller KICK),Fresno State,Idaho,False,False,44,6
15620,401022517,1,Portland State,,Nevada,Mountain West,19,72,40102251731,4,6,48,54,4,3,80,Punt,"Ben Niesner punt for 34 yds , Romeo Doubs returns for 80 yds for a TD (Ramiz Ahmed KICK)",Nevada,Portland State,False,False,72,19
16322,401012262,2,Alabama State,,Auburn,SEC,0,35,40101226214,2,7,42,78,4,4,10,Blocked Punt,TEAM punt blocked by Jordyn Peters blocked by Jordyn Peters  Devan Barrett return for 10 yds for a TD (Anders Carlson KICK),Auburn,Alabama State,False,False,35,0
17526,401012269,2,East Tennessee State,,Tennessee,SEC,0,10,4010122695,1,2,49,74,4,4,8,Blocked Punt,TEAM punt blocked by Marquill Osborne blocked by Marquill Osborne  Marquill Osborne return for 8 yds for a TD (Brent Cimaglia KICK),Tennessee,East Tennessee State,False,False,10,0
20244,401012805,2,Western Illinois,,Illinois,Big Ten,7,24,40101280516,3,7,22,84,4,2,2,Blocked Punt,Adam Fellner punt blocked by blocked by  Stanley Green return for 2 yds for a TD (Chase McLaughlin KICK),Illinois,Western Illinois,False,False,24,7
