id,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text
401013049102948803,Kansas,Big 12,Central Michigan,Mid-American,7,0,40101304912,2,5,11,65,1,0,22,Kickoff,"Liam Jones kickoff for 61 yds , Kobe Lewis return for 22 yds to the CMich 26"
401013049102948808,Central Michigan,Mid-American,Kansas,Big 12,0,7,40101304912,2,5,11,32,4,4,43,Punt,"Jack Sheldon punt for 43 yds , Kwamie Lassiter II returns for a loss of 1 yard to the Kans 24"
401013049102948804,Central Michigan,Mid-American,Kansas,Big 12,0,7,40101304912,2,5,11,26,1,10,-10,Penalty,"GWILLY, K. rush for 4 yards to the CMU30 (Lee, Mike), PENALTY CMU holding (CARR, Shakir) 10 yards to the CMU16, NO PLAY."
401013049102998904,Kansas,Big 12,Central Michigan,Mid-American,7,0,40101304913,2,,,0,0,10,0,End of Half,End of 2nd Quarter
401013049102974701,Kansas,Big 12,Central Michigan,Mid-American,7,0,40101304913,2,2,52,76,1,10,16,Rush,Pooka Williams Jr. run for 16 yds to the Kans 40 for a 1ST down
401013049102994402,Kansas,Big 12,Central Michigan,Mid-American,7,0,40101304913,2,,55,50,3,17,7,Rush,Pooka Williams Jr. run for 7 yds to the CMich 43
401013049102998903,Kansas,Big 12,Central Michigan,Mid-American,7,0,40101304913,2,,10,43,4,10,0,Punt,"Kyle Thompson punt for 40 yds, downed at the CMich 3"
401013049102974702,Kansas,Big 12,Central Michigan,Mid-American,7,0,40101304913,2,2,52,60,1,10,2,Rush,Dom Williams run for 2 yds to the Kans 42
401013049102994401,Kansas,Big 12,Central Michigan,Mid-American,7,0,40101304913,2,,55,50,3,17,0,Timeout,"Timeout KANSAS, clock 00:55"
401013049102985302,Kansas,Big 12,Central Michigan,Mid-American,7,0,40101304913,2,1,46,43,1,10,-5,Penalty,"Kendrick, Miles rush for 5 yards to the CMU38 (BRISSON-FAST, N;FOUNTAIN, Malik), PENALTY KU holding (Clark, Malik) 5 yards to the CMU48, NO PLAY."
